symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
0.0,10.8,0.0,0.0,1.6,2.0
0.0,4.2,0.0,0.0,0.6,0.0
0.0,15.2,0.0,0.0,3.2,0.0
0.0,27.4,0.0,0.0,17.6,7.0
0.0,6.8,0.0,0.0,3.6,1.0
0.0,4.0,0.0,0.0,0.0,2.0
0.0,9.6,0.0,0.0,2.0,0.0
0.2,6.0,0.0,0.2,2.0,2.0
0.0,7.8,0.0,0.0,3.2,0.0
0.0,11.8,0.0,0.0,0.2,0.0
0.0,11.8,0.0,0.0,11.2,1.0
0.0,6.8,0.0,0.0,1.8,2.0
0.0,15.0,0.0,0.0,13.0,1.0
0.0,7.6,0.0,0.2,6.2,3.0
0.0,23.2,0.0,0.0,10.4,2.0
0.0,45.2,0.0,0.0,22.2,7.0
6.2,21.4,0.0,0.0,3.0,2.0
0.0,14.4,0.0,0.0,6.8,4.0
0.2,8.2,0.0,0.2,0.4,4.0
0.0,5.8,0.0,0.0,1.8,8.0
0.0,14.8,0.0,0.0,0.6,5.0
0.0,5.2,0.0,0.0,0.8,4.0
0.0,16.2,0.0,0.0,3.2,0.0
0.0,13.6,0.0,0.0,2.0,3.0
0.0,4.0,0.0,0.0,3.8,10.0
0.0,2.4,0.0,0.0,0.6,4.0
1.2,19.8,0.0,1.4,10.6,9.0
0.0,8.2,0.0,0.0,0.4,7.0
0.0,9.0,0.0,0.0,4.6,14.0
0.2,11.4,0.0,0.6,5.4,14.0
0.0,5.4,0.0,0.0,0.6,14.0
0.0,3.6,0.0,0.0,3.2,19.0
0.0,5.8,0.0,0.0,0.8,10.0
0.0,7.0,0.0,0.0,6.2,4.0
3.0,76.4,0.2,8.8,49.8,3.0
0.6,87.8,0.0,9.6,53.8,9.0
0.0,33.2,0.0,4.0,21.2,15.0
0.0,35.4,0.0,8.2,29.0,15.0
0.0,30.0,0.0,8.8,27.8,12.0
0.0,10.6,0.0,0.2,8.4,9.0
0.0,11.2,0.0,0.2,6.6,10.0
0.0,7.8,0.0,0.0,3.4,18.0
0.0,16.6,0.0,1.2,9.6,10.0
0.0,6.4,0.0,0.0,2.0,1.0
0.0,13.2,0.0,0.0,12.2,0.0
0.0,19.6,0.0,0.0,11.6,3.0
0.0,24.2,0.0,0.4,14.0,3.0
0.0,35.0,0.0,4.0,24.8,4.0
0.0,9.4,0.0,0.2,3.8,6.0
0.2,21.4,0.0,0.2,10.6,5.0
0.0,15.8,0.0,0.0,3.2,2.0
0.0,26.6,0.0,2.6,11.6,0.0
0.0,11.8,0.0,0.0,8.0,0.0
0.0,26.6,0.0,0.0,17.2,0.0
0.0,25.6,0.0,7.4,13.0,0.0
0.0,13.6,0.0,0.8,8.0,1.0
0.8,28.0,0.0,0.8,7.8,0.0
0.0,20.4,0.0,0.0,18.0,3.0
0.8,30.6,0.0,3.4,10.2,7.0
0.8,29.6,0.8,13.8,21.4,0.0
0.0,18.4,0.0,0.8,7.2,2.0
0.0,16.4,0.0,4.2,12.2,2.0
0.8,36.0,0.8,1.6,34.6,2.0
0.0,36.6,0.0,1.6,10.4,2.0
0.0,40.2,0.0,1.2,24.2,0.0
0.0,48.4,0.0,0.0,34.2,5.0
0.0,29.4,0.0,0.8,8.4,7.0
0.0,12.0,0.0,10.6,5.2,3.0
0.0,25.0,0.0,0.6,6.2,6.0
0.0,11.0,0.0,0.6,2.2,8.0
0.6,19.4,0.0,1.2,8.2,3.0
0.0,22.0,0.0,0.0,14.2,11.0
0.0,23.0,0.0,3.0,14.4,4.0
0.0,14.4,0.0,3.6,6.6,1.0
0.0,37.0,0.0,0.0,17.6,3.0
0.0,27.6,0.0,0.6,12.4,8.0
0.0,7.6,0.0,0.0,2.0,9.0
0.0,33.8,0.0,1.2,17.6,10.0
0.6,19.8,0.0,0.6,12.8,5.0
0.6,18.2,0.0,1.0,13.0,4.0
0.6,20.2,0.0,0.6,3.2,10.0
0.6,13.2,0.0,0.6,5.2,7.0
0.0,46.4,0.0,20.4,27.6,6.0
0.0,10.4,0.0,0.6,8.0,5.0
0.0,30.8,0.0,0.6,18.0,11.0
0.6,10.6,0.0,0.6,8.4,20.0
0.0,24.2,0.0,0.0,7.8,15.0
0.0,26.4,0.0,0.6,18.2,4.0
1.2,55.6,0.0,0.8,40.4,13.0
0.0,45.2,0.0,2.2,26.2,12.0
0.0,27.6,0.0,0.6,17.8,15.0
0.0,20.4,0.0,0.6,3.2,10.0
0.0,30.0,0.0,0.0,7.6,10.0
3.4,44.4,0.0,4.0,25.8,14.0
2.0,24.8,0.6,4.8,20.2,10.0
0.4,27.6,0.0,2.4,9.8,6.0
0.0,20.4,0.0,3.0,8.4,7.0
0.6,25.8,0.0,1.0,9.2,9.0
0.0,22.8,0.0,0.0,9.8,7.0
0.0,29.4,0.0,0.0,12.6,7.0
0.0,20.8,0.0,0.6,17.4,10.0
0.0,19.2,0.0,0.6,4.2,0.0
0.0,15.6,0.0,0.0,15.0,6.0
0.0,33.8,0.0,0.0,20.8,0.0
1.0,19.2,0.0,1.0,5.8,1.0
0.0,29.8,0.0,0.0,7.8,1.0
0.0,57.6,0.0,0.0,32.0,0.0
0.0,55.8,0.0,1.0,33.2,0.0
0.0,34.2,0.0,1.0,12.6,1.0
0.0,37.6,0.0,0.0,5.0,4.0
0.0,52.4,0.0,0.0,37.8,0.0
0.0,39.6,0.0,6.6,16.2,1.0
