Cases
2
6
4
1
3
2
3
3
2
3
3
4
7
3
7
7
7
9
7
5
12
3
7
14
13
14
11
26
15
15
15
5
19
26
11
10
4
14
8
18
23
3
1
3
3
2
4
1
3
4
1
4
