Cases
6
6
8
5
7
5
11
4
3
8
6
5
3
7
8
0
0
6
6
9
2
13
5
11
10
10
8
10
5
9
12
13
6
16
11
7
8
2
3
7
8
7
5
7
7
4
61
33
14
9
5
3
