,0
0,0
1,0
2,1
3,3
4,8
5,2
6,2
7,3
8,3
9,7
10,4
11,6
12,3
13,5
14,0
15,2
16,10
17,11
18,7
19,5
20,5
21,5
22,20
23,4
24,16
25,12
26,7
27,14
28,15
29,15
30,23
31,25
32,21
33,18
34,20
35,3
36,26
37,17
38,42
39,17
40,22
41,31
42,10
43,22
44,12
45,13
46,7
47,8
48,3
49,2
50,12
51,8
