,0
0,0
1,1
2,1
3,0
4,0
5,1
6,4
7,0
8,1
9,1
10,7
11,1
12,0
13,4
14,2
15,5
16,3
17,8
18,3
19,5
20,0
21,5
22,5
23,2
24,15
25,13
26,8
27,7
28,4
29,14
30,17
31,12
32,9
33,27
34,10
35,5
36,15
37,22
38,25
39,20
40,50
41,15
42,16
43,24
44,19
45,36
46,18
47,16
48,6
49,16
50,3
51,4
