,0
0,1
1,0
2,0
3,1
4,5
5,5
6,0
7,1
8,2
9,10
10,4
11,4
12,4
13,2
14,1
15,9
16,0
17,13
18,5
19,2
20,6
21,2
22,18
23,4
24,5
25,10
26,3
27,5
28,1
29,24
30,14
31,7
32,9
33,8
34,13
35,0
36,5
37,1
38,38
39,3
40,10
41,13
42,21
43,5
44,16
45,14
46,1
47,0
48,23
49,5
50,8
51,0
