,0
0,2
1,2
2,1
3,3
4,2
5,0
6,0
7,2
8,0
9,5
10,7
11,6
12,9
13,2
14,1
15,0
16,0
17,3
18,2
19,0
20,35
21,3
22,1
23,0
24,8
25,37
26,8
27,18
28,31
29,2
30,7
31,7
32,40
33,14
34,31
35,4
36,8
37,2
38,57
39,4
40,1
41,5
42,23
43,23
44,4
45,3
46,2
47,1
48,2
49,1
50,1
51,14
