,0
0,0
1,2
2,0
3,0
4,7
5,1
6,2
7,0
8,2
9,0
10,0
11,1
12,2
13,1
14,3
15,2
16,7
17,2
18,4
19,4
20,8
21,5
22,4
23,0
24,3
25,10
26,4
27,9
28,7
29,14
30,14
31,14
32,19
33,10
34,4
35,3
36,9
37,15
38,15
39,12
40,9
41,10
42,18
43,10
44,1
45,0
46,3
47,3
48,3
49,4
50,6
51,5
52,2
