,0
0,0
1,0
2,0
3,0
4,1
5,0
6,3
7,7
8,0
9,2
10,2
11,2
12,2
13,0
14,5
15,7
16,3
17,6
18,8
19,3
20,11
21,4
22,1
23,3
24,8
25,9
26,10
27,5
28,4
29,10
30,7
31,6
32,5
33,11
34,20
35,15
36,4
37,13
38,12
39,15
40,10
41,10
42,14
43,10
44,6
45,7
46,9
47,7
48,7
49,10
50,0
51,6
