symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
0.0,38.25,0.0,0.0,29.25,3.0
0.0,32.5,0.0,0.0,2.5,1.0
0.0,37.25,0.0,2.25,30.5,1.0
0.0,37.0,0.0,2.25,28.0,0.0
0.0,2.25,0.0,0.0,2.25,0.0
0.0,40.5,0.0,11.25,23.5,3.0
0.0,50.0,0.0,2.25,39.75,0.0
0.0,30.75,0.0,0.0,23.5,0.0
0.0,19.75,0.0,0.0,4.5,1.0
0.0,20.75,2.0,2.0,13.0,4.0
2.0,17.0,0.0,2.0,10.25,0.0
0.0,42.75,0.0,2.25,21.25,1.0
0.0,32.25,0.0,0.0,22.75,1.0
4.25,20.25,0.0,4.25,8.25,0.0
7.25,33.25,0.0,9.0,22.25,21.0
0.0,41.75,0.0,0.0,30.0,1.0
0.0,41.75,0.0,0.0,18.5,0.0
2.0,36.5,0.0,2.0,20.0,4.0
0.0,35.5,0.0,0.0,31.0,5.0
0.0,43.5,0.0,0.0,21.25,0.0
0.0,23.0,0.0,0.0,5.75,1.0
0.0,45.5,0.0,0.0,37.25,5.0
0.0,2.5,0.0,0.0,2.5,0.0
0.0,9.25,0.0,0.0,4.75,0.0
0.0,22.75,0.0,7.25,13.5,0.0
0.0,42.25,0.0,0.0,23.75,0.0
0.0,31.0,0.0,5.0,17.5,0.0
0.0,22.0,0.0,2.0,11.0,0.0
2.0,53.25,0.0,2.0,37.5,1.0
7.0,49.5,2.0,7.0,29.0,0.0
0.0,65.5,0.0,11.0,34.75,1.0
2.0,42.0,0.0,2.0,19.0,2.0
0.0,44.0,0.0,0.0,15.0,1.0
0.0,50.25,0.0,13.0,39.25,0.0
0.0,50.75,0.0,0.0,16.5,1.0
0.0,49.25,0.0,2.0,24.0,1.0
0.0,41.0,0.0,2.0,23.0,5.0
0.0,33.5,0.0,8.5,15.75,0.0
0.0,33.75,0.0,6.5,20.75,1.0
0.0,30.5,0.0,0.0,10.0,0.0
0.0,47.75,0.0,2.0,10.75,3.0
0.0,41.75,0.0,0.0,15.75,1.0
0.0,47.0,0.0,0.0,14.0,1.0
0.0,37.75,0.0,0.0,13.25,0.0
0.0,35.75,0.0,0.0,12.0,1.0
0.0,47.5,0.0,0.0,23.75,0.0
0.0,48.25,0.0,0.0,33.5,1.0
6.25,50.25,0.0,21.75,36.75,1.0
2.0,33.25,0.0,3.0,13.75,3.0
2.25,41.5,2.25,6.5,20.5,1.0
0.0,35.5,0.0,3.0,8.25,3.0
0.0,23.75,0.0,2.0,12.5,3.0
0.0,46.25,0.0,12.25,26.75,3.0
0.0,49.0,0.0,5.25,20.75,2.0
0.0,41.75,0.0,2.0,37.75,1.0
0.0,41.75,0.0,2.0,38.5,3.0
0.0,31.5,0.0,0.0,11.25,2.0
2.0,31.75,0.0,4.0,17.0,1.0
4.0,52.25,0.0,4.0,17.5,4.0
0.0,33.5,0.0,0.0,8.75,4.0
0.0,45.0,0.0,2.0,23.5,4.0
0.0,47.0,0.0,2.0,37.5,1.0
5.5,56.75,0.0,5.5,30.25,4.0
0.0,57.75,0.0,0.0,42.75,1.0
0.0,45.0,0.0,2.0,27.5,10.0
0.0,46.5,0.0,0.0,19.25,3.0
0.0,39.0,0.0,0.0,11.0,1.0
0.0,39.25,0.0,2.0,22.25,0.0
0.0,63.75,0.0,0.0,33.5,7.0
0.0,29.0,0.0,1.75,7.5,4.0
0.0,41.0,0.0,4.25,25.5,1.0
0.0,44.75,0.0,1.75,21.25,4.0
1.75,26.5,0.0,1.75,19.5,1.0
0.0,31.5,0.0,2.0,11.25,2.0
0.0,21.5,0.0,2.5,19.0,5.0
13.75,25.25,0.0,16.0,21.75,0.0
0.0,35.75,0.0,0.0,14.75,0.0
1.75,31.5,1.75,1.75,14.25,1.0
