symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
0.0,2.5,0.0,0.0,3.6666666666666665,0.0
0.0,5.833333333333332,0.0,0.0,1.1666666666666667,0.0
0.0,8.666666666666666,0.0,0.0,1.6666666666666667,0.0
0.0,14.333333333333336,0.0,1.1666666666666667,8.0,0.0
0.0,21.83333333333333,0.0,0.0,8.0,0.0
0.0,17.833333333333332,0.0,0.0,3.1666666666666665,0.0
0.0,23.16666666666667,0.0,0.0,14.666666666666664,0.0
0.0,3.1666666666666665,0.0,0.0,3.1666666666666665,2.0
2.0,12.666666666666664,0.0,2.0,9.833333333333334,0.0
0.0,25.16666666666667,0.0,0.0,7.166666666666668,0.0
0.0,10.0,0.0,0.0,1.1666666666666667,0.0
0.0,22.16666666666667,0.0,0.0,9.5,0.0
0.0,24.5,0.0,0.0,13.666666666666664,0.0
0.0,15.666666666666664,0.0,0.0,6.833333333333332,0.0
0.0,22.16666666666667,0.0,0.0,7.166666666666668,0.0
0.0,7.666666666666668,0.0,0.0,4.0,0.0
0.0,13.5,0.0,0.0,2.1666666666666665,1.0
0.0,10.0,0.0,0.0,3.1666666666666665,0.0
0.0,9.166666666666666,0.0,0.0,3.8333333333333335,0.0
0.0,17.166666666666668,0.0,0.0,15.333333333333336,0.0
0.0,2.833333333333333,0.0,0.0,1.0,0.0
0.0,11.0,0.0,7.5,8.666666666666666,1.0
0.0,25.66666666666667,0.0,0.0,18.0,0.0
0.0,9.0,0.0,2.0,7.833333333333332,1.0
0.0,14.666666666666664,0.0,0.0,7.833333333333332,0.0
0.0,10.166666666666666,0.0,0.0,2.1666666666666665,1.0
0.0,18.0,0.0,7.0,13.333333333333336,0.0
0.0,10.166666666666666,0.0,0.0,8.5,4.0
4.666666666666667,10.0,0.0,4.666666666666667,5.833333333333332,5.0
0.0,8.833333333333334,0.0,0.0,7.166666666666668,3.0
0.0,15.5,0.0,1.1666666666666667,10.166666666666666,1.0
0.0,5.0,0.0,1.0,2.1666666666666665,3.0
0.0,3.8333333333333335,0.0,0.0,1.6666666666666667,6.0
0.0,2.6666666666666665,0.0,0.0,1.0,2.0
0.0,63.66666666666666,0.0,7.0,44.83333333333334,2.0
2.833333333333333,61.16666666666666,0.0,6.666666666666668,38.5,3.0
0.0,34.666666666666664,0.0,0.0,13.5,4.0
0.0,27.16666666666667,0.0,1.0,13.0,2.0
0.0,38.833333333333336,0.0,6.666666666666668,32.166666666666664,1.0
0.0,29.66666666666667,0.0,5.666666666666668,18.0,1.0
0.0,15.5,0.0,0.8333333333333334,3.8333333333333335,0.0
0.0,22.66666666666667,0.0,0.0,8.0,0.0
0.0,3.5,0.0,1.5,3.6666666666666665,0.0
0.0,28.33333333333333,0.0,0.0,15.833333333333336,0.0
0.0,12.666666666666664,0.0,0.0,11.166666666666664,1.0
0.0,14.833333333333336,0.0,0.0,11.0,5.0
1.3333333333333333,31.83333333333333,0.0,2.1666666666666665,21.166666666666668,0.0
0.0,38.833333333333336,0.0,2.1666666666666665,15.833333333333336,0.0
0.0,19.0,0.0,3.8333333333333335,17.5,0.0
0.0,8.333333333333334,0.0,0.0,5.833333333333332,2.0
0.0,27.83333333333333,0.0,0.0,8.333333333333334,1.0
0.0,18.33333333333333,0.0,9.166666666666666,14.0,0.0
0.0,17.833333333333332,0.0,0.0,13.833333333333336,0.0
0.0,12.666666666666664,0.0,0.0,2.0,0.0
0.0,35.0,0.0,0.0,26.33333333333333,1.0
0.0,17.833333333333332,0.0,0.0,10.166666666666666,0.0
0.0,60.83333333333334,0.0,0.0,24.83333333333333,0.0
0.0,11.0,0.0,0.0,4.666666666666667,1.0
0.0,44.0,0.0,0.0,26.16666666666667,1.0
0.0,36.833333333333336,0.0,0.0,26.83333333333333,0.0
1.8333333333333333,21.0,0.0,1.8333333333333333,15.0,0.0
0.0,10.5,0.0,0.0,10.5,0.0
0.0,16.5,0.0,0.0,10.833333333333336,0.0
0.0,45.66666666666666,0.0,7.833333333333332,27.0,0.0
0.0,18.166666666666668,0.0,0.0,6.166666666666668,1.0
0.0,3.8333333333333335,0.0,0.0,1.8333333333333333,2.0
0.0,36.16666666666666,0.0,0.0,9.666666666666666,1.0
0.0,39.5,0.0,0.0,30.66666666666667,1.0
0.0,15.0,0.0,0.0,9.5,0.0
0.0,38.16666666666666,0.0,0.0,12.5,1.0
0.0,30.16666666666667,0.0,0.0,25.0,0.0
0.0,19.166666666666668,0.0,0.0,11.0,0.0
0.0,17.833333333333332,0.0,0.0,1.8333333333333333,0.0
0.0,10.5,0.0,0.0,6.333333333333332,0.0
0.0,24.83333333333333,0.0,0.0,15.666666666666664,1.0
0.0,18.33333333333333,0.0,0.0,10.333333333333334,1.0
0.0,25.0,0.0,0.0,4.0,0.0
