Cases
1
3
0
0
4
1
0
3
1
1
5
4
8
4
0
2
2
2
4
3
4
3
6
10
3
4
8
7
2
7
11
6
10
4
11
31
16
20
13
11
2
7
2
4
5
12
7
8
12
9
0
0
0
0
0
7
2
3
3
0
3
0
2
2
0
0
3
3
5
7
2
3
2
2
3
4
5
5
11
4
4
11
6
13
3
11
11
5
18
14
11
9
22
8
12
6
7
7
4
2
4
3
1
1
0
1
5
1
0
1
1
0
3
4
2
3
2
5
3
2
0
3
7
3
4
0
2
15
20
5
1
10
9
4
10
9
7
11
5
2
13
15
7
9
2
9
8
6
4
6
6
4
7
2
10
3
1
1
0
3
5
2
4
0
2
3
4
0
2
1
3
3
4
2
5
6
5
4
2
7
4
4
7
1
5
5
3
13
8
8
7
2
3
6
4
5
2
5
2
1
2
2
1
2
7
5
2
2
3
1
1
2
0
0
0
1
0
4
3
1
1
5
5
9
4
7
2
6
4
0
4
3
5
9
6
2
7
11
10
7
6
8
7
4
8
1
2
1
3
3
0
3
3
4
3
0
3
2
2
0
1
1
0
2
1
5
4
3
8
1
3
1
3
3
1
0
11
1
7
2
3
2
4
2
1
1
0
1
3
13
8
10
13
9
8
6
6
10
8
8
6
4
4
2
0
3
5
1
3
2
4
4
0
3
2
2
1
0
4
4
3
4
0
1
1
6
1
5
3
4
5
2
1
1
4
3
9
1
0
6
27
8
7
5
16
11
7
18
24
7
14
24
11
39
13
6
3
3
4
5
2
1
10
3
2
0
3
4
2
2
3
3
0
5
1
1
3
4
7
9
4
5
2
5
6
4
2
2
3
15
2
9
1
5
12
17
7
9
12
4
8
19
5
1
10
6
4
4
4
4
0
0
5
6
3
0
0
2
0
1
2
1
4
3
1
2
3
4
0
6
3
5
4
4
3
7
1
4
3
0
9
1
2
13
5
4
11
8
8
7
3
4
4
9
13
8
4
4
4
3
2
10
4
3
4
2
2
2
2
2
3
3
1
0
0
6
3
1
7
2
0
3
2
1
4
10
1
5
1
5
5
6
6
8
17
8
11
6
3
14
14
8
6
6
4
6
6
20
2
9
8
4
7
4
5
5
8
6
1
5
3
2
0
1
4
2
3
1
1
4
3
4
5
2
1
3
6
1
1
4
6
3
9
8
5
11
6
11
12
13
7
13
17
11
14
6
14
18
3
10
5
11
1
10
1
6
3
2
4
2
0
0
0
5
1
3
3
0
3
0
3
2
0
5
4
3
3
2
1
5
1
5
11
5
9
1
0
1
2
11
10
20
7
14
12
3
16
12
12
5
12
8
8
10
9
8
3
9
1
11
12
1
0
0
5
6
16
6
13
5
11
6
5
1
8
16
7
17
17
10
9
14
15
13
13
6
11
25
30
23
16
21
38
1
22
27
35
22
18
13
17
4
19
18
15
8
14
7
2
9
0
6
4
4
1
1
