symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
0.0,15.714285714285715,0.0,0.0,2.0,6.0
0.0,3.2857142857142856,0.0,0.0,2.4285714285714284,0.0
0.0,21.571428571428577,0.0,1.5714285714285714,8.571428571428571,4.0
0.0,6.2857142857142865,0.0,0.0,4.714285714285714,4.0
0.0,23.714285714285715,0.0,2.7142857142857144,7.7142857142857135,2.0
0.0,21.714285714285715,0.0,1.5714285714285714,14.714285714285715,0.0
0.0,21.142857142857142,0.0,0.0,6.571428571428571,0.0
0.0,33.57142857142857,0.0,0.0,17.428571428571427,4.0
0.0,9.0,0.0,0.0,3.4285714285714284,3.0
0.0,24.42857142857143,0.0,0.0,10.285714285714286,2.0
0.0,6.142857142857142,0.0,0.0,0.0,3.0
0.0,28.42857142857143,0.0,0.0,4.571428571428571,2.0
0.0,10.0,0.0,0.0,1.5714285714285714,0.0
0.0,21.571428571428577,0.0,0.0,3.4285714285714284,4.0
1.5714285714285714,17.714285714285715,0.0,1.5714285714285714,3.2857142857142856,1.0
6.7142857142857135,22.285714285714285,0.0,6.7142857142857135,20.571428571428573,3.0
0.0,7.0,0.0,0.0,1.7142857142857142,4.0
0.0,6.2857142857142865,0.0,0.0,1.5714285714285714,2.0
0.0,22.714285714285715,0.0,0.0,7.571428571428571,1.0
0.0,5.0,0.0,0.0,4.0,2.0
0.0,6.857142857142858,0.0,0.0,4.714285714285714,1.0
0.0,8.714285714285714,0.0,0.0,0.0,7.0
0.0,8.571428571428571,0.0,0.0,1.7142857142857142,2.0
0.0,9.857142857142858,0.0,0.0,9.142857142857142,6.0
0.0,3.8571428571428568,0.0,0.0,1.8571428571428568,2.0
0.0,9.714285714285714,0.0,0.0,5.142857142857143,1.0
0.0,16.571428571428573,0.0,0.0,1.8571428571428568,8.0
0.0,20.857142857142858,0.0,0.0,9.571428571428571,6.0
0.0,19.857142857142858,0.0,1.5714285714285714,10.142857142857142,10.0
1.5714285714285714,4.714285714285714,0.0,1.5714285714285714,4.0,9.0
1.7142857142857142,7.857142857142858,0.0,1.7142857142857142,7.857142857142858,3.0
0.0,19.857142857142858,0.0,1.5714285714285714,11.714285714285715,8.0
0.0,17.714285714285715,0.0,2.571428571428572,4.142857142857143,16.0
0.0,3.1428571428571432,0.0,0.0,0.0,11.0
0.0,51.14285714285714,0.0,3.0,29.0,9.0
8.857142857142858,66.0,0.0,13.285714285714285,35.857142857142854,3.0
0.0,40.285714285714285,0.0,0.0,21.857142857142854,10.0
0.0,29.714285714285715,0.0,4.0,23.57142857142857,8.0
0.0,19.428571428571427,0.0,0.0,13.142857142857142,10.0
0.0,31.0,0.0,0.0,14.0,4.0
0.0,19.428571428571427,0.0,1.5714285714285714,3.571428571428572,7.0
0.0,25.142857142857146,0.0,0.0,11.0,13.0
1.1428571428571428,17.714285714285715,0.0,1.1428571428571428,4.571428571428571,2.0
0.0,16.857142857142858,0.0,0.0,9.0,8.0
1.7142857142857142,11.857142857142858,0.0,1.7142857142857142,1.7142857142857142,0.0
0.0,7.2857142857142865,0.0,0.0,2.571428571428572,4.0
0.0,21.142857142857142,0.0,0.0,9.571428571428571,8.0
1.1428571428571428,58.57142857142857,0.0,1.7142857142857142,35.42857142857143,9.0
0.0,19.0,0.0,0.0,11.142857142857142,10.0
1.5714285714285714,17.714285714285715,0.0,1.5714285714285714,13.0,10.0
0.0,9.428571428571429,0.0,1.5714285714285714,6.571428571428571,3.0
0.0,24.714285714285715,0.0,0.0,12.285714285714285,0.0
0.0,30.0,0.0,0.0,18.428571428571427,3.0
2.571428571428572,24.0,0.0,2.571428571428572,19.857142857142858,3.0
0.0,34.285714285714285,0.0,2.571428571428572,7.2857142857142865,5.0
0.0,20.0,0.0,0.0,0.0,2.0
0.0,28.142857142857146,0.0,0.0,19.857142857142858,1.0
0.0,19.0,0.0,0.0,0.0,4.0
0.0,32.142857142857146,0.0,0.0,22.714285714285715,0.0
3.2857142857142856,31.714285714285715,0.0,3.2857142857142856,24.714285714285715,3.0
0.0,33.42857142857143,0.0,0.0,2.571428571428572,1.0
0.0,30.0,0.0,4.571428571428571,12.0,3.0
0.0,35.285714285714285,0.0,4.714285714285714,18.285714285714285,1.0
0.0,45.28571428571429,0.0,0.0,14.857142857142858,4.0
0.0,29.285714285714285,0.0,0.0,17.857142857142858,5.0
0.0,33.142857142857146,0.0,0.0,23.285714285714285,7.0
3.1428571428571432,44.42857142857143,0.0,3.1428571428571432,19.571428571428573,2.0
0.0,28.57142857142857,0.0,0.0,9.0,5.0
