Cases
3
4
2
4
4
4
4
9
4
9
4
6
6
8
4
7
4
7
10
1
7
6
9
10
7
7
7
10
10
15
11
18
13
16
18
14
19
14
3
9
10
7
9
12
5
6
0
12
9
5
8
3
